2021-04-26 07:07:16,,2021-04-26 22:00:00,2021-05-25 05:00:00,0,공사 ,올림픽대로 잠실철교 올림픽대교 4차로 / 올림픽대교 남단IC 연결램프 구조개선 통신공사 / 장소 : 풍남동 468-5번지 앞. 올림픽대로 (하남방면) / 부분통제 도로공사 서울청,127.107406947581,37.5276919607211
2021-04-26 07:07:21,,2021-04-26 07:07:00,2021-04-26 18:00:00,0,공사 ,영산로 대한노인회나주시지회 성북아파트앞교차로 1차로 주의운전 도로공사 -,126.718806,35.0352515
2021-04-26 07:07:30,966,2021-04-26 06:57:02,2021-04-26 18:00:00,0,공사 ,내토로 시민탑오거리 신당교 1차로 주의운전 도로공사 -,128.1990824,37.1335519
2021-04-26 07:08:44,,2021-04-26 22:00:00,2021-04-27 05:00:00,0,공사 ,올림픽대로 성산대교 염창IC 1차로 월드컵대교 건설공사/장소 : 올림픽대로 김포공항방면 성산대교남단->염창IC구간/부분통제 도로공사 서울청,126.888065404285,37.5482170384502
2021-04-26 07:08:46,,2021-04-26 07:08:00,2021-04-26 18:00:00,0,공사 ,남고문로 남고문앞교차로 금성지구대교차로 1차로 주의운전 도로공사 -,126.717234799722,35.0314077
2021-04-26 07:09:20,,2021-04-26 22:00:00,2021-06-30 06:00:00,0,공사 ,올림픽대로 동작대교 한강철교 5차로 / 올림픽대로 김포 및 잠실 방면 한강대교 보수공사 / 장소 : 올림픽대로 양방향 김포 및 잠실 방면 한강대교 / 부분통제 도로공사 서울청,126.956870783185,37.5141593176184
2021-04-26 07:09:54,,2021-04-26 07:05:37,2021-04-26 10:11:48,0,공사 ,순천완주선(0270) (1차로)노면보수작업중 [고속도로]순천완주선(0270) (1차로)노면보수작업중,127.31,35.5135
2021-04-26 07:10:27,,2021-04-26 07:10:00,2021-04-26 18:00:00,0,공사 ,일반국도24호선 시청삼거리 향교오거리 1차로 주의운전 도로공사 -,127.3840786,35.4177533
2021-04-26 07:10:31,988,2021-04-26 10:00:02,2021-05-25 17:00:00,0,공사 ,올림픽대로 잠실철교 올림픽대교 4차로 / 올림픽대교 남단IC 연결램프 구조개선 통신공사 / 장소 : 풍납동 468-5번지 앞. 올림픽대로 (하남방면) / 부분통제 도로공사 서울청,127.10722573129,37.5275479651486
2021-04-26 07:11:01,991,2021-04-26 07:04:02,2021-04-26 07:34:00,1,사고 ,분당내곡간도시고속화도로 구룡터널 개포지하차도 2차로 주의운전 교통사고 서울청,127.060019134761,37.4748274994018
2021-04-26 07:11:21,,2021-04-26 07:11:00,2021-04-26 07:41:00,2,통제 ,한밭대로 이디야커피유성홈플러스점 삼보들삼거리 1차로 주의운전 공사 -,127.3549793,36.3584305
2021-04-26 07:11:31,1019,2021-04-26 07:04:02,2021-04-26 07:34:00,1,사고 ,동구릉로136번길 보양수산 구리농산물시장서측교차로 1차로 차량증가로 정체 교통사고 -,127.144066,37.6116773
2021-04-26 07:11:39,,2021-04-26 07:11:00,2021-04-26 18:00:00,0,공사 ,을숙도대로 장림고개삼거리 구평초교삼거리 1차로 주의운전 도로공사 -,128.98685,35.0858857997222
2021-04-26 07:15:30,1064,2021-04-26 07:11:02,2021-04-26 07:41:00,2,통제 ,한밭대로 이디야커피유성홈플러스점 삼보들삼거리 1차로 주의운전 공사 -,127.3549793,36.3584305
2021-04-26 07:15:36,,2021-04-26 07:15:00,2021-04-26 07:15:00,0,공사 ,고봉로 화성어린이집 뉴서울쇼핑사거리 3차로 주의운전 도로공사 -,126.7672999,37.6666857
2021-04-26 07:16:00,1070,2021-04-26 07:10:02,2021-04-26 18:00:00,0,공사 ,일반국도24호선 시청삼거리 향교오거리 1차로 주의운전 도로공사 -,127.3840786,35.4177533
2021-04-26 07:17:00,1103,2021-04-26 22:00:02,2021-06-30 06:00:00,0,공사 ,올림픽대로 동작대교 한강철교 5차로 / 올림픽대로 김포 및 잠실 방면 한강대교 보수공사 / 장소 : 올림픽대로 양방향 김포 및 잠실 방면 한강대교 / 부분통제 도로공사 서울청,126.956870783185,37.5141593176184
2021-04-26 07:17:30,1120,2021-04-26 07:08:02,2021-04-26 18:00:00,0,공사 ,남고문로 남고문앞교차로 금성지구대교차로 1차로 주의운전 도로공사 -,126.717234799722,35.0314077
2021-04-26 07:18:00,1127,2021-04-26 22:00:02,2021-04-27 05:00:00,0,공사 ,올림픽대로 성산대교 염창IC 1차로 월드컵대교 건설공사/장소 : 올림픽대로 김포공항방면 성산대교남단->염창IC구간/부분통제 도로공사 서울청,126.888065404285,37.5482170384502
2021-04-26 07:24:03,,2021-04-26 07:23:00,2021-04-26 18:00:00,0,공사 ,동삭로 세교동주민센터사거리 개나라아파트BS앞 1차로 주의운전 도로공사 -,127.083126899722,36.9997419997222
