2020-08-11 00:00:00,20200811000000,2020-08-11 00:00:00,,0,공사,[인천공항선][서울]7.8Km-8.3Km (4차로)노면보수및교량보수 4차로 차단  작업,126.4857,37.4715
2020-08-11 04:02:01,,2020-08-11 00:00:00,2020-08-11 07:03:21,0,공사 ,인천공항선(1300) (4차로)노면보수및교량보수 [고속도로]인천공항선(1300) (4차로)노면보수및교량보수,126.4857,37.4715
2020-08-11 04:27:57,,2020-08-11 04:27:00,2020-08-11 04:57:00,1,사고 ,왕십리로 뚝도정수사업소 강변북로왕십리길램프 1차로 주의운전 교통사고 -,127.0431271,37.5381808
2020-08-11 04:30:31,69,2020-08-11 04:27:02,2020-08-11 04:57:00,1,사고 ,왕십리로 뚝도정수사업소 강변북로왕십리길램프 1차로 주의운전 교통사고 -,127.0431271,37.5381808
2020-08-11 04:53:03,,2020-08-11 04:52:00,2020-08-11 05:22:00,1,사고 ,난계로 금호베스트빌아파트 성동구중구경계4 3차로 주의운전 교통사고 -,127.0241876,37.5617095
2020-08-11 04:55:31,393,2020-08-11 04:52:02,2020-08-11 05:22:00,1,사고 ,난계로 금호베스트빌아파트 성동구중구경계4 3차로 주의운전 교통사고 -,127.0241876,37.5617095
2020-08-11 05:33:12,,2020-08-11 05:32:00,2020-08-11 06:02:00,1,사고 ,동호로 신당사거리 청구역사거리 3차로 주의운전 차량고장 -,127.0026369,37.5640057
2020-08-11 05:35:31,879,2020-08-11 05:32:02,2020-08-11 06:02:00,1,사고 ,동호로 신당사거리 청구역사거리 3차로 주의운전 차량고장 -,127.0026369,37.5640057
2020-08-11 05:45:00,,2020-08-11 05:44:56,2020-08-11 08:46:37,0,공사 ,경부선(0010) (차로교대)긴급노면보수이동작업중 [고속도로]경부선(0010) (차로교대)긴급노면보수이동작업중,127.4514,36.363
2020-08-11 06:19:00,,2020-08-11 06:18:31,2020-08-11 09:20:39,0,공사 ,경부선(0010) (차로교대)긴급노면보수이동작업중 [고속도로]경부선(0010) (차로교대)긴급노면보수이동작업중,127.3837,36.6254
2020-08-11 06:20:15,,2020-08-11 06:20:00,2020-08-11 06:50:00,2,통제 ,국가지원지방도98호선 법곳동1532 법곳동214 1차로 주의운전 자연재해 -,126.7264205,37.6630577
2020-08-11 06:28:00,,2020-08-11 06:28:15,2020-08-11 09:29:39,0,공사 ,영동선(0500) (차로교대)노면보수작업중 [고속도로]영동선(0500) (차로교대)노면보수작업중,126.9181,37.3244
2020-08-11 06:28:32,,2020-08-11 06:28:00,2020-08-11 06:58:00,2,기상 ,중앙고속도로 예천IC 서안동IC 양방향 전체차로 204km(서안동IC방향) 노면 미끄러우니 주의운전요망 강우 -,128.5418245,36.6484749
2020-08-11 06:39:16,,2020-08-11 06:39:00,2020-08-11 18:00:00,0,공사 ,을숙도대로 사하경찰서 을숙도대로678 1차로 주의운전 도로공사 -,128.977903867593,35.0850275398227
2020-08-11 06:43:00,,2020-08-11 06:43:46,2020-08-11 09:44:40,0,공사 ,경부선(0010) (차로교대)긴급노면보수작업중 [고속도로]경부선(0010) (차로교대)긴급노면보수작업중,127.1681,36.8254
2020-08-11 06:44:30,,2020-08-11 08:44:00,2020-08-11 18:00:00,0,공사 ,목천대로 영농법인대신 삼화전기 1차로 주의운전  -,126.950083003876,35.9292566972149
