POI_NM,SCTN_LT,CENTER_MAP_Y_CRDNT,CENTER_MAP_X_CRDNT
죽령재,6.2,36.899407,128.459602
오루숲교 ~ 광비2터널,3.3,36.928864,129.140598
방리재,10.2,35.603291,128.53715
,4.4,35.184599,128.533232
가지산,11,35.588614,129.00774
,2,35.815438,128.21366
,1.5,35.791202,128.247738
대덕재,1.4,35.89091,127.942892
,0.2,35.908697,127.95999
가랫재,5.7,35.901132,127.995962
덕산재,1.2,35.931022,127.911395
한티재,3,36.767023,129.183574
황장재,2.3,36.492551,129.183098
구주령,2.6,36.765179,129.262744
구주령,2.9,36.76102,129.292946
구주령,6.4,36.761224,129.320315
일월재,2.1,36.822835,129.115869
일월재,3.1,36.839234,129.07703
일월재,2.9,36.870899,129.000468
가랫재,3.1,36.568485,128.985804
백운동재,3,35.813236,128.165184
벌재,3.9,36.80131,128.319951
갑령재,2.9,36.105699,128.751013
신풍령,1.9,35.85536,127.836844
천왕재,4,35.570237,128.605133
팔령재,2.8,35.473849,127.654603
밤머리재,7.8,35.394273,127.85044
,1.4,35.494605,128.153401
가당리 구간,1.27,36.011327,127.584597
삼가리 구간,2.4,35.905293,127.665812
금당리 구간,1.89,35.678553,127.664227
접치재,1.78,35.04961,127.284501
원창고개,4.3,37.82384,127.7811
오수2터널,0.6,35.579443,127.322013
물치천교,1.38,38.132249,128.58007
호남터널 오르막구간,1.88,35.473779,126.796999
방고개 구간,0.9,36.162302,127.199083
현내리 구간,1.6,36.029804,127.574348
함평분기점(R-C),0.6,35.030777,126.491562
신흥고개,1.2,35.369738,126.809363
삼평방음터널,1.7,37.408961,127.115734
삼마치터널,2,37.602409,127.967698
남곡교 구간,0.53,36.342992,126.56418
접치재,1.91,35.024775,127.338653
풍산대교,0.6,36.545205,128.64105
남원분기점,3.47,35.427273,127.30915
,1.64,37.400884,127.084077
서면7터널-양양JCT,2.08,38.056416,128.589801
용면저수지 인근,0.9,37.300871,127.361327
남한강교,0.54,37.254752,127.68361
금광2터널출구부(제천),0.7,36.977988,127.324154
