2021-08-12 01:30:35,,2021-08-12 01:25:36,2021-08-12 04:31:44,0,공사 ,평택제천선(0400) (3차로)노면보수작업중 [고속도로]평택제천선(0400) (3차로)노면보수작업중,126.98,37.0266
2021-08-12 01:41:18,,2021-08-12 01:40:00,2021-08-12 18:00:00,0,공사 ,덕릉로 오패산터널 번동사거리 진행방향 전체차로 주의운전 하수관거 작업 -,127.0307913,37.6352082
2021-08-12 02:30:10,,2021-08-12 02:29:00,2021-08-12 18:00:00,0,공사 ,경부고속도로 선주교남측 선주교북측 1,2,3,4차로 0km(동김천IC방향) 4차로 차단 주의운전  도로공사 -,128.3089434,36.1398062
2021-08-12 02:51:44,,2021-08-12 02:51:00,2021-08-12 18:00:00,0,공사 ,당진영덕고속도로 낙동JC 남상주IC 1,2차로 73km(남상주IC방향) 2차로 차단 주의운전 도로공사 -,128.1764924,36.3742127
2021-08-12 03:10:53,,2021-08-12 03:10:00,2021-08-12 18:00:00,0,공사 ,마른내로 호텔피제이앞 중구청앞교차로 진행방향 전체차로 주의운전 도로공사 반대 차선 확인 요망,126.9962442,37.5642488
2021-08-12 03:18:21,,2021-08-12 03:18:00,2021-08-12 03:48:00,2,행사 ,삼일대로 청계2가 을지로2가 3차로 주의운전 집회 -,126.9878546,37.5670705
2021-08-12 03:22:53,,2021-08-12 03:22:00,2021-08-12 18:00:00,0,공사 ,을지로 을지로3가사거리 대림상가앞교차로 3차로 주의운전 시설물보수 -,126.9954446,37.5664569
2021-08-12 03:31:05,,2021-08-12 03:30:00,2021-08-12 04:00:00,2,통제 ,장충단로8길 덕양빌딩 산다빌딩 1차로 주의운전 공사 -,127.0071357,37.5618955
2021-08-12 03:58:35,,2021-08-12 03:57:00,2021-08-12 04:27:00,1,사고 ,서울외곽순환고속도로 의정부IC 의정부IC 2차로 0km(방향) 주의운전 차량고장 -,127.0556673,37.6925087
2021-08-12 04:36:17,,2021-08-12 04:35:00,2021-08-12 18:00:00,0,공사 ,퇴계로 신당사거리 성동고교교차로 3차로 주의운전 도로공사 -,127.0233509,37.5651767
2021-08-12 04:38:04,,2021-08-12 04:37:00,2021-08-12 05:07:00,1,사고 ,지방도357호선 행주교 행신천교 3차로 주의운전 차량고장 -,126.8142299,37.6093661
2021-08-12 05:21:39,,2021-08-12 05:17:52,2021-08-12 08:22:53,0,공사 ,호남선(0251) (2차로)시설물보수작업중 [고속도로]호남선(0251) (2차로)시설물보수작업중,126.9983,35.7631
2021-08-12 05:41:43,,2021-08-12 05:36:05,2021-08-12 08:42:53,0,공사 ,중부내륙선(0450) (2차로)장연터널구조물보수작업중 [고속도로]중부내륙선(0450) (2차로)장연터널구조물보수작업중,127.9582,36.8342
2021-08-12 05:46:44,,2021-08-12 05:37:55,2021-08-12 08:47:53,0,공사 ,중부내륙선(0450) (2차로)연풍교교량점검작업중 [고속도로]중부내륙선(0450) (2차로)연풍교교량점검작업중,127.9601,36.8254
2021-08-12 05:51:44,,2021-08-12 05:45:02,2021-08-12 08:52:54,0,공사 ,청주영덕선(0300) (2차로)교량안전정밀점검작업중 [고속도로]청주영덕선(0300) (2차로)교량안전정밀점검작업중,127.6008,36.4939
2021-08-12 05:51:44,,2021-08-12 05:47:35,2021-08-12 08:52:54,0,공사 ,중부내륙선(0450) (3차로)안전띠미착용적발시스템설치작업중 [고속도로]중부내륙선(0450) (3차로)안전띠미착용적발시스템설치작업중,127.7155,37.1006
2021-08-12 05:56:45,,2021-08-12 05:48:37,2021-08-12 08:57:54,0,공사 ,경부선(0010) (진입로갓길)풀베기작업중 [고속도로]경부선(0010) (진입로갓길)풀베기작업중,129.193,35.7186
2021-08-12 06:04:51,,2021-08-12 06:04:00,2021-08-12 06:34:00,1,사고 ,일반국도87호선 반월아트홀입구삼거리 청성교차로 1,2차로 주의운전 교통사고 -,127.208950240001,37.8899990982267
2021-08-12 06:08:38,,2021-08-12 06:07:00,2021-08-12 06:37:00,1,사고 ,마유로 시매화동732 매화동7953 진행방향 전체차로 주의운전 교통사고 -,126.7985481,37.4078843
2021-08-12 06:11:47,,2021-08-12 06:06:59,2021-08-12 09:12:54,0,공사 ,중앙선(0550) (2차로)포장코어채취작업중 [고속도로]중앙선(0550) (2차로)포장코어채취작업중,128.28,37.023
2021-08-12 06:15:59,,2021-08-12 06:15:00,2021-08-12 18:00:00,0,공사 ,도안동로 용소삼거리 도안계룡리슈빌 3차로 주의운전 시설물보수 -,127.3483051,36.3174466
2021-08-12 06:19:26,,2021-08-12 06:17:00,2021-08-12 07:00:00,1,사고 ,일반국도48호선 아라대교 고촌IC  행주대교 방면 램프 1,2차로 화물차 우전도, 고촌IC 행주대교 방면 전면통제, 견인작업중 교통사고 -,126.7936674,37.5865502
2021-08-12 06:19:57,,2021-08-12 06:19:00,2021-08-12 18:00:00,0,공사 ,경부고속도로 김천JC 송천삼거리 1,2,3,4차로 0km(김천분기점방향) 주의운전 도로공사 -,128.2747108,36.1552602
2021-08-12 06:26:49,,2021-08-12 06:24:29,2021-08-12 09:27:55,0,공사 ,중부내륙선(0450) (2차로)노면긴급보수작업중 [고속도로]중부내륙선(0450) (2차로)노면긴급보수작업중,127.6332,37.1643
2021-08-12 06:31:49,,2021-08-12 06:29:25,2021-08-12 09:32:55,0,공사 ,중부내륙선(0450) (2차로)교량정밀안전진단작업중 [고속도로]중부내륙선(0450) (2차로)교량정밀안전진단작업중,128.1467,36.5574
2021-08-12 06:32:54,,2021-08-12 06:32:00,2021-08-12 07:02:00,2,기상 ,당진영덕고속도로 안동JC 안동JC 1차로 0km(방향) 주의운전 기상 -,128.6203708,36.4354653
2021-08-12 06:35:20,,2021-08-12 06:34:00,2021-08-12 07:04:00,1,사고 ,고봉로 중산10단지사거리 일산2동주민센터삼거리 1차로 주의운전 교통사고 -,126.777523599722,37.6852468
2021-08-12 06:35:59,,2021-08-12 06:35:00,2021-08-12 18:00:00,0,공사 ,중부내륙고속도로 북상주IC 점촌 함창IC 2차로 163km(북상주IC방향) 주의운전 시설물보수 -,128.1464371,36.5446758
2021-08-12 06:45:09,,2021-08-12 06:44:00,2021-08-12 18:00:00,0,공사 ,일반국도1호선 온천리3852 박정자삼거리 진행방향 전체차로 주의운전 도로공사 반대 차선 확인 요망,127.2612283,36.3709076
2021-08-12 06:47:54,,2021-08-12 06:47:00,2021-08-12 07:17:00,2,기상 ,새만금포항고속도로 와촌터널 백안터널 1차로 0km(도동JC방향) 주의운전 기상 -,128.707263799722,35.94982
2021-08-12 06:48:20,,2021-08-12 06:47:00,2021-08-12 18:00:00,0,공사 ,일반국도44호선 연봉지구 교차로 개선공사  검율교차로  연봉교차로  진행방향 전체차로 부분통제 도로공사 반대 차선 확인 요망,127.8883164,37.6873967
2021-08-12 06:49:05,,2021-08-12 06:49:00,2021-08-12 18:00:00,0,공사 ,화랑로 단원구청삼거리 화정1교사거리 1차로 주의운전 도로공사 -,126.815174926286,37.3215993907992
2021-08-12 06:49:18,,2021-08-12 06:49:00,2021-08-12 07:19:00,1,사고 ,중앙로 모란고가교 모란고가교 1차로 주의운전 차량고장 -,127.130824152202,37.4337359961408
2021-08-12 06:50:08,,2021-08-12 06:50:00,2021-08-12 07:20:00,1,사고 ,일반국도3호선 모란사거리 태평역사거리 1차로 주의운전 차량고장 -,127.128427288143,37.4361669181196
2021-08-12 06:56:51,,2021-08-12 06:52:51,2021-08-12 09:57:56,0,공사 ,남해선(순천-부산)(0100) (갓길)조경작업중 [고속도로]남해선(순천-부산)(0100) (갓길)조경작업중,128.7919,35.2212
2021-08-12 06:56:51,,2021-08-12 06:53:10,2021-08-12 09:57:56,0,공사 ,남해선(순천-부산)(0100) (갓길)조경작업중 [고속도로]남해선(순천-부산)(0100) (갓길)조경작업중,128.9634,35.2204
2021-08-12 06:59:38,,2021-08-12 06:58:00,2021-08-12 18:00:00,0,공사 ,중부내륙고속도로 김천JC 김천JC 1차로 184km 하행kmkm(방향) 2,3차로 차단 공사 마무리 종 도로공사 -,128.267569,36.1589439
2021-08-12 07:03:21,,2021-08-12 17:30:00,2021-08-12 18:30:00,2,행사 ,서초대로 서초역사거리 대법원 3차로 장소: 대법원 정문 앞 집회 서울청,127.006909009574,37.4916823929614
2021-08-12 07:06:29,,2021-08-12 10:00:00,2021-09-11 17:00:00,0,공사 ,동부간선도로 창동교 상계교 2차로 동부간선도로 (창동~상계간) 지하차도 건설공사 장소:창동교~상계교 일대 부분통제 도로공사 서울청,127.054442363953,37.6568899460867
2021-08-12 07:06:53,,2021-08-12 07:00:50,2021-08-12 10:07:56,0,공사 ,호남지선(2510) (2차로)교면포장공사작업중 [고속도로]호남지선(2510) (2차로)교면포장공사작업중,127.2725,36.2148
2021-08-12 07:07:06,,2021-08-12 07:07:00,2021-08-12 18:00:00,0,공사 ,반포대로 교대입구교차로 진석빌딩 1차로 주의운전 시설물보수 -,127.009905791028,37.4870967166847
2021-08-12 07:07:41,,2021-08-12 23:00:00,2021-08-18 17:00:00,0,공사 ,북부간선도로 묵동 335 묵동 265 양방향 전체차로 북부간선도로 보수(도장)공사 (통제: 부분통제) 도로공사 서울청,127.072600353846,37.6133760948021
2021-08-12 07:08:33,,2021-08-12 22:00:00,2021-08-20 05:00:00,0,공사 ,강남순환도시고속화도로 봉천터널 봉천터널 3차로 통신용 광케이블 신설 장소:봉천터널(사당IC->관악IC 방향 2킬로미터 구간) 부분통제 도로공사 서울청,126.970417390912,37.4671759449808
2021-08-12 07:09:17,,2021-08-12 07:08:00,2021-08-12 18:00:00,0,공사 ,대구포항고속도로  도평터널 도동jc 차로 0km(도동JC방향) 주의운전 시설물보수 -,128.6558563,35.9142655
2021-08-12 07:10:53,,2021-08-12 07:10:00,2021-08-12 07:40:00,1,사고 ,수암로 대현고앞교차로 수암사거리 3차로 차량 문제로 인한 정차로 인도 통행에 어려움 있습니다 교통사고 -,129.321414,35.5278395
2021-08-12 07:11:53,,2021-08-12 07:05:22,2021-08-12 10:12:57,0,공사 ,청주영덕선(0300) (2차로)정밀안전점검작업중 [고속도로]청주영덕선(0300) (2차로)정밀안전점검작업중,129.3454,36.3802
2021-08-12 07:11:53,,2021-08-12 07:07:37,2021-08-12 10:12:57,0,공사 ,남해선(순천-부산)(0100) (갓길)조경작업중 [고속도로]남해선(순천-부산)(0100) (갓길)조경작업중,128.4404,35.2731
2021-08-12 07:11:54,,2021-08-12 07:09:19,2021-08-12 10:12:57,0,공사 ,대구포항선(0200) (1차로)다차로하이패스개량작업중 [고속도로]대구포항선(0200) (1차로)다차로하이패스개량작업중,128.7062,35.949
2021-08-12 07:14:12,,2021-08-12 07:13:00,2021-08-12 07:43:00,2,신호기 고장 ,고장> 대전로542번길 효천2길시점 동대전유치원 1차로 주의운전 신호기 고장 -,127.441894222992,36.3174886005071
2021-08-12 07:16:54,,2021-08-12 07:13:09,2021-08-12 10:17:57,0,공사 ,동해선(삼척-속초)(0650) (1차로)시설물보수작업중 [고속도로]동해선(삼척-속초)(0650) (1차로)시설물보수작업중,129.095,37.5272
2021-08-12 07:16:57,,2021-08-12 07:16:00,2021-08-12 18:00:00,0,공사 ,일반국도17호선 오리정 방향에서 사매초교 방향 1차로 주의운전 도로공사 -,127.3605414,35.4196827
2021-08-12 07:28:03,,2021-08-12 07:27:00,2021-08-12 18:00:00,0,공사 ,중부내륙고속도로 충주IC 충주IC 1차로 0km(방향) 주의운전 도로공사 -,127.8470854,36.9747322
2021-08-12 07:28:58,,2021-08-12 07:28:00,2021-08-12 18:00:00,0,공사 ,탄리로 탄리사거리 태평오거리 1차로 도로공사 차로감소 주의요망 도로공사 -,127.1356206,37.4445
2021-08-12 07:29:35,,2021-08-12 07:29:00,2021-08-12 18:00:00,0,공사 ,대종로 중촌네거리 향국선원 2차로 지체.정체 우려 도로공사 건물관련작업,127.416840819642,36.3358505293932
2021-08-12 07:30:45,,2021-08-12 07:30:00,2021-08-12 18:00:00,0,공사 ,주막길 진주아파트입구 평내지하차도 1차로 주의운전 도로공사 -,127.240190499722,37.6509463
2021-08-12 07:31:01,,2021-08-12 07:30:00,2021-08-12 08:00:00,2,기상 ,일반국도24호선 합천교차로 합천대교 1차로 주의운전 기상 -,128.1706126,35.5571489
2021-08-12 07:32:54,,2021-08-12 07:32:00,2021-08-12 18:00:00,0,공사 ,양골1길 하늘빛어린이집 늘을3로11 2차로 주의운전 도로공사 -,127.2395938,37.6575752
2021-08-12 07:33:55,,2021-08-12 07:33:00,2021-08-12 18:00:00,0,공사 ,지방도865호선 솔마루장어구이 서경운수 1차로 주의운전 도로공사 -,127.620499934633,34.9227088461493
2021-08-12 07:36:11,,2021-08-12 07:36:00,2021-08-12 18:00:00,0,공사 ,공단로 대한자동차정비 공단입구사거리 1차로 주의운전 도로공사 -,129.0386121,35.3558531
2021-08-12 07:36:57,,2021-08-12 07:31:53,2021-08-12 10:37:58,0,공사 ,호남지선(2510) (2차로)신축이음장치교체작업중 [고속도로]호남지선(2510) (2차로)신축이음장치교체작업중,127.1645,36.1534
2021-08-12 07:37:56,,2021-08-12 07:37:00,2021-08-12 18:00:00,0,공사 ,도안동로 도안동1493 도안계룡리슈빌 3차로 주의운전 도로공사 -,127.3475076,36.3189666
2021-08-12 07:37:58,,2021-08-12 07:37:00,2021-08-12 08:07:00,1,사고 ,문예공원길 백제세계유산센터 모정네거리 3차로 신축 공사현장 주의운전 교통사고 -,127.3900871,36.3581167
2021-08-12 07:38:46,,2021-08-12 07:38:00,2021-08-12 18:00:00,0,공사 ,일반국도7호선 노포삼거리 노포교 1차로 주의운전 도로공사 -,129.0957873,35.2869887
2021-08-12 07:39:17,,2021-08-12 07:39:00,2021-08-12 08:09:00,1,사고 ,일반국도47호선 양재IC 양재IC 1차로 주의운전 교통사고 -,127.039169820697,37.4628798964228
2021-08-12 07:40:10,,2021-08-12 07:39:00,2021-08-12 18:00:00,0,공사 ,오치로 북부소방서앞 오치사거리 1차로 주의운전 도로공사 -,126.9075636,35.1871351
2021-08-12 07:40:21,,2021-08-12 07:40:00,2021-08-12 18:00:00,0,공사 ,용암로 봉덕삼거리 송학사거리 진행방향 전체차로 공사관계로 차단 반대차로로 서행 도로공사 반대 차선 확인 요망,126.7409271,35.7233867
2021-08-12 07:40:33,,2021-08-12 07:39:00,2021-08-12 08:09:00,1,사고 ,일반국도17호선 동구중구 대성동삼거리 3차로 후미 주의 교통사고 화물차간 추돌,127.46053439018,36.2957860142324
2021-08-12 07:41:35,,2021-08-12 07:41:00,2021-08-12 18:00:00,0,공사 ,일반국도6호선 국수리 대심리입구 1차로 주의운전 도로공사 -,127.3951381,37.5098529
2021-08-12 07:41:58,,2021-08-12 07:38:47,2021-08-12 10:43:58,0,공사 ,대구포항선(0200) (2차로)화산교정밀안전점검작업중 [고속도로]대구포항선(0200) (2차로)화산교정밀안전점검작업중,128.8676,36.002
2021-08-12 07:42:11,,2021-08-12 07:41:00,2021-08-12 08:59:00,1,사고 ,양재대로 양재IC 염곡동사거리 5차로 승용차-화물차. 후미 지체 교통사고 서울청,127.040274308775,37.4636363151404
2021-08-12 07:43:00,A000034290,2021-08-12 07:43:00,,0,공사,일반국도[36] 음성군 음성교 (충주) 전면통제공사중교면포장공사,127.6956211,36.9231317
2021-08-12 07:43:32,,2021-08-12 07:43:00,2021-08-12 18:00:00,0,공사 ,시청동로 검찰청네거리 경찰청네거리 3차로 도로공사 중 주의운전 도로공사 -,127.3868087,36.3549294
2021-08-12 07:43:51,,2021-08-12 07:43:00,2021-08-12 08:13:00,1,사고 ,원도안로 어울림교회 옥녀봉삼거리 1차로 주의운전 교통사고 -,127.3475189,36.325505
2021-08-12 07:44:21,,2021-08-12 07:44:00,2021-08-12 08:14:00,1,사고 ,탄천좌로 방아다리사거리 매송교 1차로 주의운전 교통사고 -,127.123519836689,37.3990299556316
2021-08-12 07:45:10,,2021-08-12 07:45:00,2021-08-12 18:00:00,0,공사 ,비행장길 수퍼통닭휴게실 전미동2가전미로107 1차로 주의운전 도로공사 -,127.112350699722,35.8778799997222
2021-08-12 07:45:49,,2021-08-12 07:45:00,2021-08-12 18:00:00,0,공사 ,일반국도35호선 화남면사천리5152 화남면사천리12412 1차로 주의운전 도로공사 -,128.9174384,36.0383007
2021-08-12 07:48:38,,2021-08-12 07:46:00,2021-08-12 18:00:00,0,공사 ,수암로 대현사거리 대현고앞교차로 1차로 한솥도시락 울산야음점 옆 도로에서 시설물보수  중으로 운행에 참고하십시오. 시설물보수 -,129.3240863,35.5270598
2021-08-12 07:49:35,,2021-08-12 07:49:00,2021-08-12 18:00:00,0,공사 ,둔지미4길 미유커피 대전발달장애인훈련센터 1차로 신축 공사현장 주의운전 도로공사 -,127.3804203,36.3551319
2021-08-12 07:50:10,,2021-08-12 07:49:00,2021-08-12 18:00:00,0,공사 ,원효로 용산구청 용산서 1차로 주의운전 도로공사 -,126.9664271,37.5380288
2021-08-12 07:50:46,,2021-08-12 07:50:00,2021-08-12 08:20:00,1,사고 ,양재대로 둔촌주공아파트103동 둔촌동역 5차로 주의운전 차량고장 -,127.135555555556,37.5275
2021-08-12 07:51:04,,2021-08-12 07:51:00,2021-08-12 18:00:00,0,공사 ,오패산로 미아4동사무소 방천시장입구교차로 1차로 주의운전 시설물보수 -,127.0342799,37.61309
2021-08-12 07:52:00,,2021-08-12 07:45:37,2021-08-12 10:53:59,0,공사 ,대구포항선(0200) (3차로)기계교정밀안전점검작업중 [고속도로]대구포항선(0200) (3차로)기계교정밀안전점검작업중,129.1237,36.0556
2021-08-12 07:52:00,,2021-08-12 07:46:58,2021-08-12 10:53:59,0,공사 ,통영대전선(0351) (갓길)비탈면보수작업중 [고속도로]통영대전선(0351) (갓길)비탈면보수작업중,128.2566,35.0541
